Year,State,StateUnemploymentRate
1989/7/1,Tennessee,5
1989/7/1,Texas,6.8
1989/7/1,Utah,4.6
1989/7/1,Vermont,3.7
1989/7/1,Virginia,3.9
1989/7/1,Washington,6
1989/7/1,West Virginia,8.8
1989/7/1,Wisconsin,4.4
1989/7/1,Wyoming,6.2
1989/8/1,Alabama,7
1989/8/1,Alaska,7
1989/8/1,Arizona,5.1
1989/8/1,Arkansas,7
1989/8/1,California,5.1
1989/8/1,Colorado,5.6
1989/8/1,Connecticut,3.8
1989/8/1,Delaware,3.5
1989/8/1,District of Columbia,4.8
1989/8/1,Florida,5.7
1989/8/1,Georgia,5.5
1989/8/1,Hawaii,2.4
1989/8/1,Idaho,5.5
1989/8/1,Illinois,6.1
1989/8/1,Indiana,4.8
1989/8/1,Iowa,4.4
1989/8/1,Kansas,4.2
1989/8/1,Kentucky,6.3
1989/8/1,Louisiana,7.3
1989/8/1,Maine,4.4
1989/8/1,Maryland,3.8
1989/8/1,Massachusetts,4.4
1989/8/1,Michigan,7.4
1989/8/1,Minnesota,4.4
1989/8/1,Mississippi,7.7
1989/8/1,Missouri,5.5
1989/8/1,Montana,6
1989/8/1,Nebraska,2.9
1989/8/1,Nevada,4.7
1989/8/1,New Hampshire,3.6
1989/8/1,New Jersey,4.2
1989/8/1,New Mexico,6.9
1989/8/1,New York,5
1989/8/1,North Carolina,3.7
1989/8/1,North Dakota,4.3
1989/8/1,Ohio,5.7
1989/8/1,Oklahoma,5.7
1989/8/1,Oregon,5.3
1989/8/1,Pennsylvania,5
1989/8/1,Rhode Island,4
1989/8/1,South Carolina,4.8
1989/8/1,South Dakota,3.9
1989/8/1,Tennessee,5.1
1989/8/1,Texas,6.7
1989/8/1,Utah,4.6
1989/8/1,Vermont,3.8
1989/8/1,Virginia,3.9
1989/8/1,Washington,6.1
1989/8/1,West Virginia,8.6
1989/8/1,Wisconsin,4.4
1989/8/1,Wyoming,6.2
1989/9/1,Alabama,6.9
1989/9/1,Alaska,7.1
1989/9/1,Arizona,5
1989/9/1,Arkansas,6.9
1989/9/1,California,5.2
1989/9/1,Colorado,5.6
1989/9/1,Connecticut,3.9
1989/9/1,Delaware,3.5
1989/9/1,District of Columbia,4.8
1989/9/1,Florida,5.7
1989/9/1,Georgia,5.4
1989/9/1,Hawaii,2.4
1989/9/1,Idaho,5.5
1989/9/1,Illinois,6.2
1989/9/1,Indiana,5
1989/9/1,Iowa,4.4
1989/9/1,Kansas,4.2
1989/9/1,Kentucky,6.2
1989/9/1,Louisiana,7
1989/9/1,Maine,4.5
1989/9/1,Maryland,3.8
1989/9/1,Massachusetts,4.6
1989/9/1,Michigan,7.6
1989/9/1,Minnesota,4.4
1989/9/1,Mississippi,7.6
1989/9/1,Missouri,5.5
1989/9/1,Montana,6
1989/9/1,Nebraska,2.8
1989/9/1,Nevada,4.7
1989/9/1,New Hampshire,3.8
1989/9/1,New Jersey,4.3
1989/9/1,New Mexico,7
1989/9/1,New York,5.1
1989/9/1,North Carolina,3.6
1989/9/1,North Dakota,4.3
1989/9/1,Ohio,5.8
1989/9/1,Oklahoma,5.7
1989/9/1,Oregon,5.3
1989/9/1,Pennsylvania,5
1989/9/1,Rhode Island,4.4
1989/9/1,South Carolina,4.9
1989/9/1,South Dakota,3.9
1989/9/1,Tennessee,5.1
1989/9/1,Texas,6.7
1989/9/1,Utah,4.6
1989/9/1,Vermont,3.9
1989/9/1,Virginia,4
1989/9/1,Washington,6
1989/9/1,West Virginia,8.5
1989/9/1,Wisconsin,4.4
1989/9/1,Wyoming,6.1
1989/10/1,Alabama,6.8
1989/10/1,Alaska,7.1
1989/10/1,Arizona,4.9
1989/10/1,Arkansas,6.8
1989/10/1,California,5.2
1989/10/1,Colorado,5.5
1989/10/1,Connecticut,4
1989/10/1,Delaware,3.5
1989/10/1,District of Columbia,4.9
1989/10/1,Florida,5.7
1989/10/1,Georgia,5.4
1989/10/1,Hawaii,2.4
1989/10/1,Idaho,5.5
1989/10/1,Illinois,6.3
1989/10/1,Indiana,5
1989/10/1,Iowa,4.4
1989/10/1,Kansas,4.1
1989/10/1,Kentucky,6.1
1989/10/1,Louisiana,6.7
1989/10/1,Maine,4.5
1989/10/1,Maryland,3.8
1989/10/1,Massachusetts,4.8
1989/10/1,Michigan,7.7
1989/10/1,Minnesota,4.5
1989/10/1,Mississippi,7.6
1989/10/1,Missouri,5.6
1989/10/1,Montana,5.9
1989/10/1,Nebraska,2.8
1989/10/1,Nevada,4.7
1989/10/1,New Hampshire,4
1989/10/1,New Jersey,4.4
1989/10/1,New Mexico,6.9
1989/10/1,New York,5.1
1989/10/1,North Carolina,3.6
1989/10/1,North Dakota,4.3
1989/10/1,Ohio,5.9
1989/10/1,Oklahoma,5.6
1989/10/1,Oregon,5.3
1989/10/1,Pennsylvania,5.1
1989/10/1,Rhode Island,4.7
1989/10/1,South Carolina,4.9
1989/10/1,South Dakota,3.9
1989/10/1,Tennessee,5.1
1989/10/1,Texas,6.6
1989/10/1,Utah,4.6
1989/10/1,Vermont,3.9
1989/10/1,Virginia,4
1989/10/1,Washington,5.9
1989/10/1,West Virginia,8.4
1989/10/1,Wisconsin,4.3
1989/10/1,Wyoming,6
1989/11/1,Alabama,6.8
1989/11/1,Alaska,7.2
1989/11/1,Arizona,4.9
1989/11/1,Arkansas,6.8
1989/11/1,California,5.2
1989/11/1,Colorado,5.4
1989/11/1,Connecticut,4.1
1989/11/1,Delaware,3.5
1989/11/1,District of Columbia,5
1989/11/1,Florida,5.8
1989/11/1,Georgia,5.3
1989/11/1,Hawaii,2.5
1989/11/1,Idaho,5.4
1989/11/1,Illinois,6.4
1989/11/1,Indiana,5.1
1989/11/1,Iowa,4.3
1989/11/1,Kansas,4.1
1989/11/1,Kentucky,6
1989/11/1,Louisiana,6.4
1989/11/1,Maine,4.5
1989/11/1,Maryland,3.8
1989/11/1,Massachusetts,4.9
1989/11/1,Michigan,7.8
1989/11/1,Minnesota,4.5
1989/11/1,Mississippi,7.6
1989/11/1,Missouri,5.6
1989/11/1,Montana,5.8
1989/11/1,Nebraska,2.7
1989/11/1,Nevada,4.7
1989/11/1,New Hampshire,4.1
1989/11/1,New Jersey,4.4
1989/11/1,New Mexico,6.9
1989/11/1,New York,5.2
1989/11/1,North Carolina,3.5
1989/11/1,North Dakota,4.2
1989/11/1,Ohio,6
1989/11/1,Oklahoma,5.5
1989/11/1,Oregon,5.2
1989/11/1,Pennsylvania,5.1
1989/11/1,Rhode Island,5
1989/11/1,South Carolina,4.9
1989/11/1,South Dakota,3.8
1989/11/1,Tennessee,5
1989/11/1,Texas,6.5
1989/11/1,Utah,4.6
1989/11/1,Vermont,3.9
1989/11/1,Virginia,4
1989/11/1,Washington,5.8
1989/11/1,West Virginia,8.3
1989/11/1,Wisconsin,4.3
1989/11/1,Wyoming,5.8
1989/12/1,Alabama,6.7
1989/12/1,Alaska,7.2
1989/12/1,Arizona,4.9
1989/12/1,Arkansas,6.7
1989/12/1,California,5.2
1989/12/1,Colorado,5.3
1989/12/1,Connecticut,4.2
1989/12/1,Delaware,3.5
1989/12/1,District of Columbia,5.2
1989/12/1,Florida,5.8
1989/12/1,Georgia,5.2
1989/12/1,Hawaii,2.6
1989/12/1,Idaho,5.4
1989/12/1,Illinois,6.3
1989/12/1,Indiana,5.1
1989/12/1,Iowa,4.3
1989/12/1,Kansas,4.1
1989/12/1,Kentucky,5.9
1989/12/1,Louisiana,6.2
1989/12/1,Maine,4.5
1989/12/1,Maryland,3.7
1989/12/1,Massachusetts,5.1
1989/12/1,Michigan,7.8
1989/12/1,Minnesota,4.5
1989/12/1,Mississippi,7.6
1989/12/1,Missouri,5.6
1989/12/1,Montana,5.8
1989/12/1,Nebraska,2.6
1989/12/1,Nevada,4.6
1989/12/1,New Hampshire,4.3
1989/12/1,New Jersey,4.5
1989/12/1,New Mexico,6.8
1989/12/1,New York,5.2
1989/12/1,North Carolina,3.5
1989/12/1,North Dakota,4.1
1989/12/1,Ohio,6
1989/12/1,Oklahoma,5.5
1989/12/1,Oregon,5.2
1989/12/1,Pennsylvania,5.2
1989/12/1,Rhode Island,5.2
1989/12/1,South Carolina,4.8
1989/12/1,South Dakota,3.7
1989/12/1,Tennessee,5
1989/12/1,Texas,6.4
1989/12/1,Utah,4.6
1989/12/1,Vermont,4
1989/12/1,Virginia,4
1989/12/1,Washington,5.6
1989/12/1,West Virginia,8.2
1989/12/1,Wisconsin,4.2
1989/12/1,Wyoming,5.6
1990/1/1,Alabama,6.7
1990/1/1,Alaska,7.2
1990/1/1,Arizona,5
1990/1/1,Arkansas,6.7
1990/1/1,California,5.2
1990/1/1,Colorado,5.2
1990/1/1,Connecticut,4.3
1990/1/1,Delaware,3.5
1990/1/1,District of Columbia,5.1
1990/1/1,Florida,5.8
1990/1/1,Georgia,5.2
1990/1/1,Hawaii,2.6
1990/1/1,Idaho,5.3
1990/1/1,Illinois,6.3
1990/1/1,Indiana,5.1
1990/1/1,Iowa,4.4
1990/1/1,Kansas,4.1
1990/1/1,Kentucky,5.8
1990/1/1,Louisiana,6.1
1990/1/1,Maine,4.5
1990/1/1,Maryland,3.7
1990/1/1,Massachusetts,5.3
1990/1/1,Michigan,7.7
1990/1/1,Minnesota,4.6
1990/1/1,Mississippi,7.5
1990/1/1,Missouri,5.6
1990/1/1,Montana,5.7
1990/1/1,Nebraska,2.5
1990/1/1,Nevada,4.4
1990/1/1,New Hampshire,4.5
1990/1/1,New Jersey,4.5
1990/1/1,New Mexico,6.7
1990/1/1,New York,5.2
1990/1/1,North Carolina,3.5
1990/1/1,North Dakota,4.2
1990/1/1,Ohio,6
1990/1/1,Oklahoma,5.4
1990/1/1,Oregon,5.1
1990/1/1,Pennsylvania,5.2
1990/1/1,Rhode Island,5.4
1990/1/1,South Carolina,4.7
1990/1/1,South Dakota,3.7
1990/1/1,Tennessee,5
1990/1/1,Texas,6.3
1990/1/1,Utah,4.5
1990/1/1,Vermont,4
1990/1/1,Virginia,3.9
1990/1/1,Washington,5.4
1990/1/1,West Virginia,8.1
1990/1/1,Wisconsin,4.2
1990/1/1,Wyoming,5.5
1990/2/1,Alabama,6.7
1990/2/1,Alaska,7.2
1990/2/1,Arizona,5.2
1990/2/1,Arkansas,6.7
1990/2/1,California,5.2
1990/2/1,Colorado,5.2
1990/2/1,Connecticut,4.4
1990/2/1,Delaware,3.5
1990/2/1,District of Columbia,5.2
1990/2/1,Florida,5.8
1990/2/1,Georgia,5.1
1990/2/1,Hawaii,2.7
1990/2/1,Idaho,5.3
1990/2/1,Illinois,6.2
1990/2/1,Indiana,5.1
1990/2/1,Iowa,4.4
1990/2/1,Kansas,4
1990/2/1,Kentucky,5.8
1990/2/1,Louisiana,5.9
1990/2/1,Maine,4.5
1990/2/1,Maryland,3.7
1990/2/1,Massachusetts,5.4
1990/2/1,Michigan,7.6
1990/2/1,Minnesota,4.6
1990/2/1,Mississippi,7.5
1990/2/1,Missouri,5.6
1990/2/1,Montana,5.7
1990/2/1,Nebraska,2.5
1990/2/1,Nevada,4.4
1990/2/1,New Hampshire,4.6
1990/2/1,New Jersey,4.6
1990/2/1,New Mexico,6.6
1990/2/1,New York,5.1
1990/2/1,North Carolina,3.5
1990/2/1,North Dakota,4.1
1990/2/1,Ohio,5.9
1990/2/1,Oklahoma,5.3
1990/2/1,Oregon,5.1
1990/2/1,Pennsylvania,5.2
1990/2/1,Rhode Island,5.5
1990/2/1,South Carolina,4.7
1990/2/1,South Dakota,3.7
1990/2/1,Tennessee,5
1990/2/1,Texas,6.3
1990/2/1,Utah,4.5
1990/2/1,Vermont,4.1
1990/2/1,Virginia,3.9
1990/2/1,Washington,5.3
1990/2/1,West Virginia,8
1990/2/1,Wisconsin,4.1
1990/2/1,Wyoming,5.3
1990/3/1,Alabama,6.7
1990/3/1,Alaska,7.2
1990/3/1,Arizona,5.3
1990/3/1,Arkansas,6.7
1990/3/1,California,5.2
1990/3/1,Colorado,5.1
1990/3/1,Connecticut,4.5
1990/3/1,Delaware,3.5
1990/3/1,District of Columbia,5.3
1990/3/1,Florida,5.9
1990/3/1,Georgia,5.1
1990/3/1,Hawaii,2.7
1990/3/1,Idaho,5.4
1990/3/1,Illinois,6.1
1990/3/1,Indiana,5
1990/3/1,Iowa,4.3
1990/3/1,Kansas,4
1990/3/1,Kentucky,5.7
1990/3/1,Louisiana,5.8
1990/3/1,Maine,4.5
1990/3/1,Maryland,3.7
1990/3/1,Massachusetts,5.6
1990/3/1,Michigan,7.5
1990/3/1,Minnesota,4.6
1990/3/1,Mississippi,7.4
1990/3/1,Missouri,5.5
1990/3/1,Montana,5.6
1990/3/1,Nebraska,2.4
1990/3/1,Nevada,4.3
1990/3/1,New Hampshire,4.8
1990/3/1,New Jersey,4.6
1990/3/1,New Mexico,6.5
1990/3/1,New York,5.1
1990/3/1,North Carolina,3.5
1990/3/1,North Dakota,4.1
1990/3/1,Ohio,5.7
1990/3/1,Oklahoma,5.2
1990/3/1,Oregon,5.1
1990/3/1,Pennsylvania,5.2
1990/3/1,Rhode Island,5.7
1990/3/1,South Carolina,4.7
1990/3/1,South Dakota,3.7
1990/3/1,Tennessee,5
1990/3/1,Texas,6.3
1990/3/1,Utah,4.4
1990/3/1,Vermont,4.2
1990/3/1,Virginia,3.9
1990/3/1,Washington,5.2
1990/3/1,West Virginia,8
1990/3/1,Wisconsin,4.1
1990/3/1,Wyoming,5.2
1990/4/1,Alabama,6.7
1990/4/1,Alaska,7.2
1990/4/1,Arizona,5.4
1990/4/1,Arkansas,6.7
1990/4/1,California,5.3
1990/4/1,Colorado,5.1
1990/4/1,Connecticut,4.6
1990/4/1,Delaware,3.5
1990/4/1,District of Columbia,5.4
1990/4/1,Florida,5.9
1990/4/1,Georgia,5.1
1990/4/1,Hawaii,2.7
1990/4/1,Idaho,5.4
1990/4/1,Illinois,6.1
1990/4/1,Indiana,5
1990/4/1,Iowa,4.3
1990/4/1,Kansas,4
1990/4/1,Kentucky,5.7
1990/4/1,Louisiana,5.8
1990/4/1,Maine,4.6
1990/4/1,Maryland,3.8
1990/4/1,Massachusetts,5.8
1990/4/1,Michigan,7.4
1990/4/1,Minnesota,4.6
1990/4/1,Mississippi,7.3
1990/4/1,Missouri,5.5
1990/4/1,Montana,5.6
1990/4/1,Nebraska,2.3
1990/4/1,Nevada,4.4
1990/4/1,New Hampshire,4.9
1990/4/1,New Jersey,4.7
1990/4/1,New Mexico,6.4
1990/4/1,New York,5
1990/4/1,North Carolina,3.6
1990/4/1,North Dakota,4
1990/4/1,Ohio,5.6
1990/4/1,Oklahoma,5.1
1990/4/1,Oregon,5.1
1990/4/1,Pennsylvania,5.2
1990/4/1,Rhode Island,5.8
1990/4/1,South Carolina,4.7
1990/4/1,South Dakota,3.6
1990/4/1,Tennessee,5.1
1990/4/1,Texas,6.2
1990/4/1,Utah,4.4
1990/4/1,Vermont,4.3
1990/4/1,Virginia,4
1990/4/1,Washington,5.1
1990/4/1,West Virginia,8
1990/4/1,Wisconsin,4.1
1990/4/1,Wyoming,5.1
1990/5/1,Alabama,6.7
1990/5/1,Alaska,7.2
1990/5/1,Arizona,5.4
1990/5/1,Arkansas,6.7
1990/5/1,California,5.4
1990/5/1,Colorado,5.1
1990/5/1,Connecticut,4.7
1990/5/1,Delaware,3.5
1990/5/1,District of Columbia,5.6
1990/5/1,Florida,6
1990/5/1,Georgia,5.2
1990/5/1,Hawaii,2.7
1990/5/1,Idaho,5.5
1990/5/1,Illinois,6.1
1990/5/1,Indiana,5
1990/5/1,Iowa,4.3
1990/5/1,Kansas,4.1
1990/5/1,Kentucky,5.7
1990/5/1,Louisiana,5.8
1990/5/1,Maine,4.7
1990/5/1,Maryland,3.9
1990/5/1,Massachusetts,6
1990/5/1,Michigan,7.4
1990/5/1,Minnesota,4.6
1990/5/1,Mississippi,7.2
1990/5/1,Missouri,5.5
1990/5/1,Montana,5.8
1990/5/1,Nebraska,2.3
1990/5/1,Nevada,4.4
1990/5/1,New Hampshire,5.1
1990/5/1,New Jersey,4.7
1990/5/1,New Mexico,6.4
1990/5/1,New York,5
1990/5/1,North Carolina,3.7
1990/5/1,North Dakota,4
1990/5/1,Ohio,5.6
1990/5/1,Oklahoma,5
1990/5/1,Oregon,5.2
1990/5/1,Pennsylvania,5.2
1990/5/1,Rhode Island,6
1990/5/1,South Carolina,4.7
1990/5/1,South Dakota,3.6
1990/5/1,Tennessee,5.1
1990/5/1,Texas,6.3
1990/5/1,Utah,4.3
1990/5/1,Vermont,4.5
1990/5/1,Virginia,4.1
1990/5/1,Washington,5.1
1990/5/1,West Virginia,8.1
1990/5/1,Wisconsin,4.1
1990/5/1,Wyoming,5
1990/6/1,Alabama,6.7
1990/6/1,Alaska,7.2
1990/6/1,Arizona,5.3
1990/6/1,Arkansas,6.7
1990/6/1,California,5.5
1990/6/1,Colorado,5.2
1990/6/1,Connecticut,4.8
1990/6/1,Delaware,3.6
1990/6/1,District of Columbia,5.7
1990/6/1,Florida,6.1
1990/6/1,Georgia,5.3
1990/6/1,Hawaii,2.6
1990/6/1,Idaho,5.6
1990/6/1,Illinois,6.2
1990/6/1,Indiana,5
1990/6/1,Iowa,4.4
1990/6/1,Kansas,4.1
1990/6/1,Kentucky,5.8
1990/6/1,Louisiana,5.9
1990/6/1,Maine,4.9
1990/6/1,Maryland,4.1
1990/6/1,Massachusetts,6.1
1990/6/1,Michigan,7.4
1990/6/1,Minnesota,4.6
1990/6/1,Mississippi,7.3
1990/6/1,Missouri,5.6
1990/6/1,Montana,5.9
1990/6/1,Nebraska,2.3
1990/6/1,Nevada,4.5
1990/6/1,New Hampshire,5.2
1990/6/1,New Jersey,4.8
1990/6/1,New Mexico,6.4
1990/6/1,New York,5.1
1990/6/1,North Carolina,3.9
1990/6/1,North Dakota,4.1
1990/6/1,Ohio,5.6
1990/6/1,Oklahoma,5
1990/6/1,Oregon,5.3
1990/6/1,Pennsylvania,5.3
1990/6/1,Rhode Island,6.2
1990/6/1,South Carolina,4.8
1990/6/1,South Dakota,3.6
1990/6/1,Tennessee,5.2
1990/6/1,Texas,6.3
1990/6/1,Utah,4.3
1990/6/1,Vermont,4.6
1990/6/1,Virginia,4.2
1990/6/1,Washington,5
1990/6/1,West Virginia,8.2
1990/6/1,Wisconsin,4.1
1990/6/1,Wyoming,5
1990/7/1,Alabama,6.8
1990/7/1,Alaska,7.2
1990/7/1,Arizona,5.3
1990/7/1,Arkansas,6.8
1990/7/1,California,5.7
1990/7/1,Colorado,5.2
1990/7/1,Connecticut,4.9
1990/7/1,Delaware,3.7
1990/7/1,District of Columbia,5.9
1990/7/1,Florida,6.2
1990/7/1,Georgia,5.3
1990/7/1,Hawaii,2.6
1990/7/1,Idaho,5.6
1990/7/1,Illinois,6.3
1990/7/1,Indiana,4.9
1990/7/1,Iowa,4.4
1990/7/1,Kansas,4.2
1990/7/1,Kentucky,5.9
1990/7/1,Louisiana,6.1
1990/7/1,Maine,5.2
1990/7/1,Maryland,4.3
1990/7/1,Massachusetts,6.4
1990/7/1,Michigan,7.5
1990/7/1,Minnesota,4.7
1990/7/1,Mississippi,7.3
1990/7/1,Missouri,5.8
1990/7/1,Montana,6
1990/7/1,Nebraska,2.3
1990/7/1,Nevada,4.6
1990/7/1,New Hampshire,5.3
1990/7/1,New Jersey,5
1990/7/1,New Mexico,6.5
1990/7/1,New York,5.1
1990/7/1,North Carolina,4
1990/7/1,North Dakota,4.1
1990/7/1,Ohio,5.6
1990/7/1,Oklahoma,5.2
1990/7/1,Oregon,5.5
1990/7/1,Pennsylvania,5.4
1990/7/1,Rhode Island,6.3
1990/7/1,South Carolina,4.9
1990/7/1,South Dakota,3.6
1990/7/1,Tennessee,5.3
1990/7/1,Texas,6.3
1990/7/1,Utah,4.3
1990/7/1,Vermont,4.7
1990/7/1,Virginia,4.4
1990/7/1,Washington,5
1990/7/1,West Virginia,8.5
1990/7/1,Wisconsin,4.2
1990/7/1,Wyoming,5
1990/8/1,Alabama,6.8
1990/8/1,Alaska,7.2
1990/8/1,Arizona,5.2
1990/8/1,Arkansas,6.9
1990/8/1,California,5.9
1990/8/1,Colorado,5.1
1990/8/1,Connecticut,5.1
1990/8/1,Delaware,3.9
1990/8/1,District of Columbia,6.1
1990/8/1,Florida,6.3
1990/8/1,Georgia,5.4
1990/8/1,Hawaii,2.6
1990/8/1,Idaho,5.6
1990/8/1,Illinois,6.4
1990/8/1,Indiana,5
1990/8/1,Iowa,4.4
1990/8/1,Kansas,4.3
1990/8/1,Kentucky,6
1990/8/1,Louisiana,6.3
1990/8/1,Maine,5.5
1990/8/1,Maryland,4.5
1990/8/1,Massachusetts,6.6
1990/8/1,Michigan,7.6
1990/8/1,Minnesota,4.7
1990/8/1,Mississippi,7.5
1990/8/1,Missouri,6
1990/8/1,Montana,6.2
1990/8/1,Nebraska,2.3
1990/8/1,Nevada,4.8
1990/8/1,New Hampshire,5.4
1990/8/1,New Jersey,5.1
1990/8/1,New Mexico,6.6
1990/8/1,New York,5.3
1990/8/1,North Carolina,4.2
1990/8/1,North Dakota,4.2
1990/8/1,Ohio,5.7
1990/8/1,Oklahoma,5.3
1990/8/1,Oregon,5.6
1990/8/1,Pennsylvania,5.5
1990/8/1,Rhode Island,6.5
1990/8/1,South Carolina,4.9
1990/8/1,South Dakota,3.6
1990/8/1,Tennessee,5.4
1990/8/1,Texas,6.4
1990/8/1,Utah,4.3
1990/8/1,Vermont,4.9
1990/8/1,Virginia,4.6
1990/8/1,Washington,5
1990/8/1,West Virginia,8.8
1990/8/1,Wisconsin,4.3
1990/8/1,Wyoming,5
1990/9/1,Alabama,6.9
1990/9/1,Alaska,7.3
1990/9/1,Arizona,5.2
1990/9/1,Arkansas,7
1990/9/1,California,6.1
1990/9/1,Colorado,5.1
1990/9/1,Connecticut,5.2
1990/9/1,Delaware,5.5
1990/9/1,District of Columbia,6.4
1990/9/1,Florida,6.5
1990/9/1,Georgia,5.5
1990/9/1,Hawaii,2.5
1990/9/1,Idaho,5.7
1990/9/1,Illinois,6.4
1990/9/1,Indiana,5
1990/9/1,Iowa,4.5
1990/9/1,Kansas,4.4
1990/9/1,Kentucky,6.2
1990/9/1,Louisiana,6.5
1990/9/1,Maine,5.8
1990/9/1,Maryland,4.7
1990/9/1,Massachusetts,6.9
1990/9/1,Michigan,7.7
1990/9/1,Minnesota,4.8
1990/9/1,Mississippi,7.7
1990/9/1,Missouri,6.2
1990/9/1,Montana,6.3
1990/9/1,Nebraska,2.4
1990/9/1,Nevada,4.9
1990/9/1,New Hampshire,5.6
1990/9/1,New Jersey,5.4
1990/9/1,New Mexico,6.8
1990/9/1,New York,5.5
1990/9/1,North Carolina,4.5
1990/9/1,North Dakota,4.2
1990/9/1,Ohio,5.7
1990/9/1,Oklahoma,5.5
1990/9/1,Oregon,5.7
1990/9/1,Pennsylvania,5.7
1990/9/1,Rhode Island,6.6
1990/9/1,South Carolina,5
1990/9/1,South Dakota,3.6
1990/9/1,Tennessee,5.5
1990/9/1,Texas,6.4
1990/9/1,Utah,4.3
1990/9/1,Vermont,5
1990/9/1,Virginia,4.7
1990/9/1,Washington,5
1990/9/1,West Virginia,9.1
1990/9/1,Wisconsin,4.5
1990/9/1,Wyoming,5.1
1990/10/1,Alabama,7
1990/10/1,Alaska,7.3
1990/10/1,Arizona,5.2
1990/10/1,Arkansas,7.1
1990/10/1,California,6.4
1990/10/1,Colorado,5.1
1990/10/1,Connecticut,5.4
1990/10/1,Delaware,6
1990/10/1,District of Columbia,6.5
1990/10/1,Florida,6.6
1990/10/1,Georgia,5.6
1990/10/1,Hawaii,2.5
1990/10/1,Idaho,5.9
1990/10/1,Illinois,6.5
1990/10/1,Indiana,5.2
1990/10/1,Iowa,4.6
1990/10/1,Kansas,4.5
1990/10/1,Kentucky,6.4
1990/10/1,Louisiana,6.7
1990/10/1,Maine,6.2
1990/10/1,Maryland,4.9
1990/10/1,Massachusetts,7.2
1990/10/1,Michigan,7.9
1990/10/1,Minnesota,4.8
1990/10/1,Mississippi,7.9
1990/10/1,Missouri,6.4
1990/10/1,Montana,6.5
1990/10/1,Nebraska,2.4
1990/10/1,Nevada,5.1
1990/10/1,New Hampshire,5.8
1990/10/1,New Jersey,5.6
1990/10/1,New Mexico,6.9
1990/10/1,New York,5.7
1990/10/1,North Carolina,4.7
1990/10/1,North Dakota,4.2
1990/10/1,Ohio,5.9
1990/10/1,Oklahoma,5.7
1990/10/1,Oregon,5.7
1990/10/1,Pennsylvania,5.9
1990/10/1,Rhode Island,6.7
1990/10/1,South Carolina,5.1
1990/10/1,South Dakota,3.6
1990/10/1,Tennessee,5.6
1990/10/1,Texas,6.5
1990/10/1,Utah,4.4
1990/10/1,Vermont,5.2
1990/10/1,Virginia,4.9
1990/10/1,Washington,5.1
1990/10/1,West Virginia,9.3
1990/10/1,Wisconsin,4.7
1990/10/1,Wyoming,5.1
1990/11/1,Alabama,7.1
1990/11/1,Alaska,7.4
1990/11/1,Arizona,5.1
1990/11/1,Arkansas,7.2
1990/11/1,California,6.7
1990/11/1,Colorado,5.1
1990/11/1,Connecticut,5.6
1990/11/1,Delaware,6.3
1990/11/1,District of Columbia,6.7
1990/11/1,Florida,6.8
1990/11/1,Georgia,5.7
1990/11/1,Hawaii,2.5
1990/11/1,Idaho,6
1990/11/1,Illinois,6.5
1990/11/1,Indiana,5.4
1990/11/1,Iowa,4.6
1990/11/1,Kansas,4.6
1990/11/1,Kentucky,6.6
1990/11/1,Louisiana,6.9
1990/11/1,Maine,6.7
1990/11/1,Maryland,5.2
1990/11/1,Massachusetts,7.5
1990/11/1,Michigan,8.2
1990/11/1,Minnesota,4.9
1990/11/1,Mississippi,8.1
1990/11/1,Missouri,6.6
1990/11/1,Montana,6.6
1990/11/1,Nebraska,2.4
1990/11/1,Nevada,5.2
1990/11/1,New Hampshire,6
1990/11/1,New Jersey,5.8
1990/11/1,New Mexico,7.1
1990/11/1,New York,5.9
1990/11/1,North Carolina,5
1990/11/1,North Dakota,4.2
1990/11/1,Ohio,6
1990/11/1,Oklahoma,5.9
1990/11/1,Oregon,5.7
1990/11/1,Pennsylvania,6.1
1990/11/1,Rhode Island,7
1990/11/1,South Carolina,5.3
1990/11/1,South Dakota,3.6
1990/11/1,Tennessee,5.9
1990/11/1,Texas,6.6
1990/11/1,Utah,4.4
1990/11/1,Vermont,5.4
1990/11/1,Virginia,5.1
1990/11/1,Washington,5.3
1990/11/1,West Virginia,9.6
1990/11/1,Wisconsin,4.9
1990/11/1,Wyoming,5.1
1990/12/1,Alabama,7.1
1990/12/1,Alaska,7.5
1990/12/1,Arizona,5
1990/12/1,Arkansas,7.3
1990/12/1,California,6.9
1990/12/1,Colorado,5.1
1990/12/1,Connecticut,5.7
1990/12/1,Delaware,6.4
1990/12/1,District of Columbia,6.8
1990/12/1,Florida,6.9
1990/12/1,Georgia,5.7
1990/12/1,Hawaii,2.5
1990/12/1,Idaho,6.2
1990/12/1,Illinois,6.5
1990/12/1,Indiana,5.6
1990/12/1,Iowa,4.7
1990/12/1,Kansas,4.7
1990/12/1,Kentucky,6.9
1990/12/1,Louisiana,7
1990/12/1,Maine,7.2
1990/12/1,Maryland,5.4
1990/12/1,Massachusetts,7.8
1990/12/1,Michigan,8.5
1990/12/1,Minnesota,5
1990/12/1,Mississippi,8.3
1990/12/1,Missouri,6.7
1990/12/1,Montana,6.8
1990/12/1,Nebraska,2.4
1990/12/1,Nevada,5.4
1990/12/1,New Hampshire,6.1
1990/12/1,New Jersey,6
1990/12/1,New Mexico,7.2
1990/12/1,New York,6.2
1990/12/1,North Carolina,5.3
1990/12/1,North Dakota,4.2
1990/12/1,Ohio,6.2
1990/12/1,Oklahoma,6
1990/12/1,Oregon,5.7
